firstname;lastname;IBAN;category;amount;name;description;date
Laura;Succamore;BE06 8908 3856 3325;Automotive;-507,91;Klocko, Bartoletti and Herzog;diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere;24/10/2020
Laura;Succamore;BE06 8908 3856 3326;Clothing;-584,81;Nicolas, Dach and Baumbach;ipsum aliquam non mauris;14/08/2020
Laura;Succamore;BE06 8908 3856 3327;Movies;-533,06;Langosh Inc;vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend;16/03/2020
Laura;Succamore;BE06 8908 3856 3328;Grocery;82,64;Franecki and Sons;id ornare imperdiet sapien urna pretium nisl ut volutpat sapien;9/07/2020
Laura;Succamore;BE06 8908 3856 3329;Outdoors;-567,47;Beahan-Halvorson;sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet;2/12/2020
Laura;Succamore;BE06 8908 3856 3330;Music;-735,94;Bernier Inc;fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar;16/03/2020
Laura;Succamore;BE06 8908 3856 3331;Outdoors;-178,20;Hahn, Jacobson and Nolan;vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit;26/05/2020
Laura;Succamore;BE06 8908 3856 3332;Garden;-1.177,71;Cruickshank-Gutmann;pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper;20/10/2020
Laura;Succamore;BE06 8908 3856 3333;Baby;-1.027,23;D'Amore, Wunsch and Quitzon;in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu;9/12/2020
Laura;Succamore;BE06 8908 3856 3334;Sports;435,45;Stark, Spencer and Murazik;;24/06/2020
Laura;Succamore;BE06 8908 3856 3335;Sports;-500,63;Vandervort-Lowe;rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc;21/10/2020
Laura;Succamore;BE06 8908 3856 3336;Industrial;190,79;Kris-Senger;lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu;4/06/2020
Laura;Succamore;BE06 8908 3856 3337;Shoes;217,63;Koch-Haag;orci pede venenatis non sodales sed tincidunt;15/11/2020
Laura;Succamore;BE06 8908 3856 3338;Grocery;-582,84;Smitham, Purdy and Marquardt;in purus eu magna vulputate luctus cum sociis;2/10/2020
Laura;Succamore;BE06 8908 3856 3339;Toys;-266,75;Price, Botsford and Gusikowski;ligula sit amet eleifend;16/01/2020
Laura;Succamore;BE06 8908 3856 3340;Clothing;-16,82;Terry-Cassin;tellus nisi eu orci mauris lacinia sapien;8/06/2020
Laura;Succamore;BE06 8908 3856 3341;Clothing;-900,09;Beahan Inc;vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra;29/07/2020
Laura;Succamore;BE06 8908 3856 3342;Garden;-561,82;Wolf-Hackett;hac habitasse platea dictumst maecenas ut massa quis;16/03/2020
Laura;Succamore;BE06 8908 3856 3343;Movies;476,38;Moen, Tromp and Hartmann;ut erat curabitur gravida nisi at;11/05/2020
Laura;Succamore;BE06 8908 3856 3344;Games;423,45;Roberts, Vandervort and Kulas;aliquet maecenas leo odio condimentum id luctus nec molestie sed justo;18/02/2021
Laura;Succamore;BE06 8908 3856 3345;Tools;-753,61;Lynch, Durgan and Gerlach;;23/05/2020
Laura;Succamore;BE06 8908 3856 3346;Jewelery;220,12;Carter, Reinger and Botsford;posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet;4/06/2020
Laura;Succamore;BE06 8908 3856 3347;Baby;-1.020,69;Witting Inc;ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor;31/12/2020
Laura;Succamore;BE06 8908 3856 3348;Sports;250,46;Ebert-Windler;erat curabitur gravida nisi at nibh in hac habitasse platea dictumst;29/01/2020
Laura;Succamore;BE06 8908 3856 3349;Grocery;172,08;Larson and Sons;id massa id nisl venenatis;23/07/2020
Laura;Succamore;BE06 8908 3856 3350;Outdoors;-318,88;Weissnat-Schulist;pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae;15/05/2020
Laura;Succamore;BE06 8908 3856 3351;Baby;61,23;Armstrong-Barrows;ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel;7/09/2020
Laura;Succamore;BE06 8908 3856 3352;Tools;-592,32;Ullrich, Collier and Botsford;purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus;7/01/2021
Laura;Succamore;BE06 8908 3856 3353;Books;173,58;Rohan, Cummings and Balistreri;sapien cum sociis natoque penatibus et magnis dis;23/10/2020
Laura;Succamore;BE06 8908 3856 3354;Garden;-1.002,83;Weimann, Cummerata and Deckow;tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu;22/01/2021
Laura;Succamore;BE06 8908 3856 3355;Grocery;291,29;Gibson Group;vulputate nonummy maecenas tincidunt;15/02/2021
Laura;Succamore;BE06 8908 3856 3356;Jewelery;396,19;Jerde, Abernathy and Armstrong;nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse;19/11/2020
Laura;Succamore;BE06 8908 3856 3357;Garden;89,50;Watsica, Morar and Koelpin;diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt;29/10/2020
Laura;Succamore;BE06 8908 3856 3358;Toys;-680,47;Klein and Sons;magna at nunc commodo placerat praesent blandit nam nulla integer pede;22/02/2020
Laura;Succamore;BE06 8908 3856 3359;Jewelery;433,93;McClure, Oberbrunner and Altenwerth;consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac;26/06/2020
Laura;Succamore;BE06 8908 3856 3360;Toys;-619,78;Abshire, Ferry and Wisoky;donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia;28/05/2020
Laura;Succamore;BE06 8908 3856 3361;Sports;224,30;Gutmann-Streich;molestie hendrerit at vulputate vitae nisl aenean;16/01/2021
Laura;Succamore;BE06 8908 3856 3362;Outdoors;-407,49;Altenwerth-Conroy;urna pretium nisl ut volutpat sapien;6/01/2020
Laura;Succamore;BE06 8908 3856 3363;Books;-1.113,54;Bailey Inc;id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget;13/08/2020
Laura;Succamore;BE06 8908 3856 3364;Shoes;300,88;Kunde, Kuvalis and Hahn;rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo;26/08/2020
Laura;Succamore;BE06 8908 3856 3365;Outdoors;391,21;Mosciski, Hackett and Haag;viverra eget congue eget semper rutrum nulla nunc purus phasellus;16/09/2020
Laura;Succamore;BE06 8908 3856 3366;Books;-935,90;Pfannerstill-Will;quisque arcu libero rutrum ac lobortis vel dapibus at diam;5/01/2020
Laura;Succamore;BE06 8908 3856 3367;Tools;-8,43;Daugherty Group;posuere cubilia curae nulla dapibus dolor vel est donec odio justo;16/12/2020
Laura;Succamore;BE06 8908 3856 3368;Computers;-331,11;Bartoletti LLC;;26/11/2020
Laura;Succamore;BE06 8908 3856 3369;Grocery;-1.129,94;Leuschke, Boyle and Fritsch;eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi;10/01/2020
Laura;Succamore;BE06 8908 3856 3370;Grocery;146,80;Pollich-Swift;etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa;24/10/2020
Laura;Succamore;BE06 8908 3856 3371;Kids;-1.124,46;Watsica Group;curabitur in libero ut massa volutpat convallis;27/02/2020
Laura;Succamore;BE06 8908 3856 3372;Industrial;-732,41;Abbott, Hickle and Dickinson;tincidunt eu felis fusce posuere felis sed lacus;12/11/2020
Laura;Succamore;BE06 8908 3856 3373;Tools;-122,59;Casper LLC;in hac habitasse platea dictumst maecenas;31/03/2020
Laura;Succamore;BE06 8908 3856 3374;Shoes;202,29;Wisoky and Sons;orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut;30/01/2020
Laura;Succamore;BE06 8908 3856 3375;Home;84,93;Nicolas and Sons;quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede;18/01/2021
Laura;Succamore;BE06 8908 3856 3376;Grocery;-228,53;Jacobson LLC;;26/09/2020
Laura;Succamore;BE06 8908 3856 3377;Music;-217,14;Dicki-Heaney;quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas;10/05/2020
Laura;Succamore;BE06 8908 3856 3378;Toys;-1.148,54;Anderson-Beahan;turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue;21/02/2020
Laura;Succamore;BE06 8908 3856 3379;Toys;-974,40;Schulist, Haag and Larson;eleifend pede libero quis orci nullam molestie nibh;9/08/2020
Laura;Succamore;BE06 8908 3856 3380;Kids;213,81;Hills-Champlin;justo eu massa donec dapibus duis at;11/05/2020
Laura;Succamore;BE06 8908 3856 3381;Garden;-390,66;Prohaska Group;accumsan odio curabitur convallis duis consequat dui nec;15/11/2020
Laura;Succamore;BE06 8908 3856 3382;Baby;421,98;Collier Group;imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam;22/01/2021
Laura;Succamore;BE06 8908 3856 3383;Music;145,68;Schneider-Denesik;curae nulla dapibus dolor vel est donec odio justo sollicitudin ut;30/06/2020
Laura;Succamore;BE06 8908 3856 3384;Tools;-883,64;Pagac-Mosciski;pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel;21/08/2020
Laura;Succamore;BE06 8908 3856 3385;Movies;-1.032,11;Hickle Inc;laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus;24/02/2020
Laura;Succamore;BE06 8908 3856 3386;Industrial;-221,63;Walker Inc;consequat lectus in est risus auctor sed;30/12/2020
Laura;Succamore;BE06 8908 3856 3387;Outdoors;-821,93;Funk Inc;consequat ut nulla sed accumsan;29/12/2020
Laura;Succamore;BE06 8908 3856 3388;Shoes;-728,07;Hoeger, Kuhic and Schmitt;habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat;11/04/2020
Laura;Succamore;BE06 8908 3856 3389;Computers;-473,32;Schowalter, Skiles and Williamson;amet cursus id turpis integer aliquet;10/03/2020
Laura;Succamore;BE06 8908 3856 3390;Toys;407,86;Schuster-Harvey;vivamus in felis eu sapien cursus;5/02/2021
Laura;Succamore;BE06 8908 3856 3391;Jewelery;131,03;Jenkins and Sons;nonummy integer non velit donec diam neque;25/04/2020
Laura;Succamore;BE06 8908 3856 3392;Toys;-489,75;Doyle, Buckridge and O'Kon;amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum;11/07/2020
Laura;Succamore;BE06 8908 3856 3393;Games;-358,15;Hegmann, Emmerich and Weber;sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo;9/01/2021
Laura;Succamore;BE06 8908 3856 3394;Shoes;429,38;Treutel, Sawayn and Bins;;1/05/2020
Laura;Succamore;BE06 8908 3856 3395;Books;-1.240,26;Wiegand-Nikolaus;ut mauris eget massa tempor convallis;15/11/2020
Laura;Succamore;BE06 8908 3856 3396;Health;-369,57;Kuhlman-Larson;hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate;11/11/2020
Laura;Succamore;BE06 8908 3856 3397;Electronics;-811,76;Koss-Russel;dapibus duis at velit eu est congue elementum in hac habitasse platea;11/08/2020
Laura;Succamore;BE06 8908 3856 3398;Industrial;132,96;Stroman-Schimmel;rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper;10/10/2020
Laura;Succamore;BE06 8908 3856 3399;Automotive;-157,14;Lebsack, Kris and Sawayn;tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat;23/03/2020
Laura;Succamore;BE06 8908 3856 3400;Baby;-354,44;Braun, Cormier and Crona;tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in;10/11/2020
Laura;Succamore;BE06 8908 3856 3401;Automotive;-717,02;McCullough LLC;commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget;22/09/2020
Laura;Succamore;BE06 8908 3856 3402;Industrial;-835,95;Kemmer-Batz;primis in faucibus orci;19/06/2020
Laura;Succamore;BE06 8908 3856 3403;Beauty;-950,37;Franecki-Schmitt;turpis adipiscing lorem vitae;13/01/2020
Laura;Succamore;BE06 8908 3856 3404;Kids;-155,02;Ritchie-Wintheiser;lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in;6/07/2020
Laura;Succamore;BE06 8908 3856 3405;Shoes;-947,75;Corwin, Kris and Gislason;sapien placerat ante nulla justo aliquam;16/03/2020
Laura;Succamore;BE06 8908 3856 3406;Computers;-1.248,85;Dickinson, Beer and Quigley;sodales sed tincidunt eu felis fusce;24/09/2020
Laura;Succamore;BE06 8908 3856 3407;Grocery;-83,90;Moore LLC;cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque;24/07/2020
Laura;Succamore;BE06 8908 3856 3408;Home;-1.058,86;Hammes-Jacobi;nisl nunc rhoncus dui vel sem sed sagittis nam;7/05/2020
Laura;Succamore;BE06 8908 3856 3409;Health;239,26;Weissnat, Eichmann and Bode;amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in;3/07/2020
Laura;Succamore;BE06 8908 3856 3410;Computers;385,51;Altenwerth and Sons;rutrum neque aenean auctor gravida sem praesent id;9/01/2020
Laura;Succamore;BE06 8908 3856 3411;Health;-508,07;Bashirian Inc;mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec;19/09/2020
Laura;Succamore;BE06 8908 3856 3412;Grocery;-613,26;Gorczany, Graham and Grant;parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean;18/01/2021
Laura;Succamore;BE06 8908 3856 3413;Tools;-1.138,39;Beier, Moen and Cole;ligula vehicula consequat morbi a ipsum integer a nibh in quis justo;9/01/2021
Laura;Succamore;BE06 8908 3856 3414;Beauty;-443,99;Rath LLC;praesent id massa id nisl venenatis lacinia aenean sit;3/07/2020
Laura;Succamore;BE06 8908 3856 3415;Sports;456,28;Marvin LLC;luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam;1/12/2020
Laura;Succamore;BE06 8908 3856 3416;Games;466,40;Hills-Baumbach;erat tortor sollicitudin mi;5/01/2021
Laura;Succamore;BE06 8908 3856 3417;Electronics;2,06;Beahan-Bartoletti;velit eu est congue;1/08/2020
Laura;Succamore;BE06 8908 3856 3418;Grocery;-1.048,70;Swaniawski Inc;libero nam dui proin leo odio porttitor id;18/02/2020
Laura;Succamore;BE06 8908 3856 3419;Kids;-145,18;Ryan-Ferry;;3/10/2020
Laura;Succamore;BE06 8908 3856 3420;Clothing;140,01;Beahan and Sons;non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla;21/02/2021
Laura;Succamore;BE06 8908 3856 3421;Jewelery;-211,99;Zulauf, Howe and Auer;dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent;15/02/2021
Laura;Succamore;BE06 8908 3856 3422;Health;-1.014,22;Kuphal, Lang and Goldner;magnis dis parturient montes nascetur ridiculus;30/06/2020
